State,City,Alias,City_ID,Lat,Lon
NC,Blowing Rock,Boone vicinity,4456376,36.129,-81.689
NC,Morganton,Linville Gorge,4480219,35.8909,-81.891
NC,Lake Lure,Rumbling Bald,4474803,35.447,-82.218
NC,Brevard,Looking Glass,4457040,35.303,-82.802
NC,Danbury,Moore's Wall,4462940,36.398,-80.269
NC,Elkin,Stone Mountain,4465155,36.382,-81.024
NC,Asheboro,Asheboro,4453035,35.719,-79.937
NC,Gastonia,Crowder's Mountain,4467732,35.208,-81.299
NC,Cashiers,Cashiers Vicnity,4467128,35.114,-83.101
WV,Fayetteville,New River Gorge,4798308,38.062,-81.176
WV,Franklin,Seneca Rocks,4806504,38.834,-79.384
WV,Pearisburg,Bozoo,4778312,37.462,-80.831
WV,Morgantown,Coopers Rock,4815352,39.641,-79.827
TN,Chattanooga,Chattanooga vicinity,4612862,35.098,-85.379
TN,Wartburg,Obed,4665933,36.079,-84.774
TN,Nashville,King's Bluff,4644585,36.56,-87.487
TN,Oneida,Big South Fork,4647287,36.371,-84.659
TN,Dayton,Dayton Pocket,4617536,35.556,-85.043
VA,Norton,Guest River Gorge,4776585,36.899,-82.42
VA,Lovingston,Love Nest,4770827,37.774,-79.005
VA,Madison,Old Rag,4771235,38.551,-78.324
VA,Charlottesville,Charlottesvile vicinity,4752031,38.0293,-78.4766
VA,Harrisonburg,Hidden Rocks,4763237,38.459,-79.114
VA,Roanoke,McAfee's Knob,4782167,37.387,-80.068
VA,McLean,Great Falls,4772354,39.011,-77.358
VA,Abingdon,Hidden Valley,4743815,36.846,-82.083
VA,Independence,Grayson Highlands,4829280,36.621,-81.486
VA,Grundy,Breaks Interstate Park,4762512,37.286,-82.296
VA,Richmond,Manchester Wall,4781708,37.524,-77.563
AL,Fort Payne,Little River Canyon,4062861,34.395,-85.628
AL,Birmingham,Moss Rock Preserve,4049979,33.381,-86.842
AL,Oneonta,Horse Pens 40,4081671,33.921,-86.31
GA,LaFayette,Rocktown,4204241,34.658,-85.391
GA,Atlanta,Boat Rock,4180439,33.721,-84.566
GA,Clarkesville,Mount Yonah,4188197,34.637,-83.722
KY,Campton,Red River Gorge,4286728,37.783,-83.684
AR,Jasper,Horseshoe Canyon Ranch,4116400,36.004,-93.294
AR,Ben Hur,Cowell,4105879,35.82,-93.173
AR,Fayetteville,Fayetteville vicinity,4110486,36.069,-94.232
MD,Bethesda,Carderock,4348599,38.977,-77.203
MD,Hagerstown,Annapolis Rock,4357141,39.281,-77.14
MD,Harper's Ferry,Harper's Ferry,4801850,39.325,-77.75
SC,Pickens,Upstate SC Vicinity,4590946,34.957,-82.798
PA,Harrisburg,PA Diabase Areas,5192726,40.244,-76.482
PA,Birdsboro,Birdsboro Quarry,5180620,40.25,-75.822
PA,Pittsburgh,SW Pennsylvania vicinity,5206379,40.431,-80.05
NY,New Paltz,Shawangunks,5128539,41.724,-74.213
NY,New York,Central Park,5128581,40.769,-73.979
NY,Tupper Lake,Adirondacks,5141580,44.233,-74.493
IL,Carbondale,So-Ill vicinity,4235193,37.72,-89.283
IL,Davenport,Mississippi Palisades,4853423,42.144,-90.171
WI,Baraboo,Devil's Lake,5244638,43.417,-89.749
MI,Lansing,Grand Ledge,4998830,42.757,-84.779
MI,Marquette,Marquette vicinity,5000947,46.61,-87.629
TX,Dripping Springs,Reimer's Ranch,4686903,30.185,-98.122
TX,Belton,Roger's Park,4673425,31.043,-97.554
TX,Waco,Tonkawa Falls,4739526,31.536,-97.433
TX,Del Rio,Pecos River,5520076,29.377,-100.942
TX,Fredericksburg,Enchanted Rock,4692279,30.506,-98.827
TX,Amarillo,Palo Duro Canyon,5516233,34.958,-101.678
TX,El Paso,Hueco Tanks,5520993,31.916,-106.045
OH,Akron,Cleveland vicinity,5145476,41.301,-81.685
OH,Youngstown,Youngstown vicinity,5177568,41.094,-80.709
